scientific_name;genus;family;count_species_total;pct_species_total;count_species_street;pct_species_street;count_species_park;pct_species_park;biodiv_index;Moose;Flechte;Wildbienen;Schmetterlinge;Käfer;Vögel;Säugetiere;volume;growth_type;s_MEAN_dbh_cm;s_MEAN_height_m;s_MEAN_crown_m;s_MEDIAN_dbh_cm;s_MEDIAN_height_m;s_MEDIAN_crown_m;s_MAX_dbh_cm;s_MAX_height_m;s_MAX_crown_m;p_MEAN_dbh_cm;p_MEAN_height_m;p_MEAN_crown_m;p_MEDIAN_dbh_cm;p_MEDIAN_height_m;p_MEDIAN_crown_m;p_MAX_dbh_cm;p_MAX_height_m;p_MAX_crown_m;s_MEAN_age;p_MEAN_age;count_genus_total;pct_genus_all;count_genus_park;pct_genus_park;count_genus_street;pct_genus_street;count_family_total;pct_family_all;count_family_park;pct_family_park;count_family_street;pct_family_street
Sorbus domestica ;Sorbus;Rosaceae;2;0.065595277;;;2;0.124921924;;;;;;;;;;;;;;;;;;;;10.18591636;8.5;3.5;10.18591636;8.5;3.5;10.82253613;10;4;;;14;0.45916694;13;0.811992505;1;0.069060773;344;11.28238767;204;12.74203623;140;9.668508287
Taxodium distichum ;Taxodium;Cupressaceae;23;0.754345687;;;23;1.436602124;;;;;;;;;;;;;;;;;;;;22.00490082;6.739130435;7.826086957;22.28169203;7;8;25.46479089;9;10;;;23;0.754345687;23;1.436602124;;;100;3.279763857;96;5.996252342;4;0.276243094
Taxus baccata ;Taxus;Taxaceae;40;1.311905543;12;0.828729282;28;1.748906933;1.6;;;;;;;;;;23.63450905;7.583333333;6.166666667;26.57887549;8;7;52.52113122;18;16;36.79889649;11.21428571;10.10714286;34.21831277;11;11;74.48451337;20;16;8;71.25;40;1.311905543;28;1.748906933;12;0.828729282;40;1.311905543;28;1.748906933;12;0.828729282
Thuja occidentalis ;Thuja;Cupressaceae;10;0.327976386;;;10;0.624609619;;;;;;;;;;;;;;;;;;;;75.47127401;17.1;10.3;57.13662457;16;9;186.8479032;26;18;;;12;0.393571663;12;0.749531543;;;100;3.279763857;96;5.996252342;4;0.276243094
Thuja plicata ;Thuja;Cupressaceae;2;0.065595277;;;2;0.124921924;;;;;;;;;;;;;;;;;;;;64.45775197;18.5;12;64.45775197;18.5;12;101.8591636;27;16;;;12;0.393571663;12;0.749531543;;;100;3.279763857;96;5.996252342;4;0.276243094
Tilia ×euchlora ;Tilia;Malvaceae;70;2.2958347;28;1.933701657;42;2.6233604;3.4;;;;;;;;;;26.5788755;10;7.714285714;26.89718538;10;8;45.83662361;17;12;37.818246;14.80952381;10.14285714;33.42253805;15;10;127.3239545;22;16;45.84210526;29.15789474;303;9.937684487;105;6.558400999;198;13.67403315;307;10.06887504;105;6.558400999;202;13.95027624
Tilia × vulgaris ;Tilia;Malvaceae;9;0.295178747;9;0.621546961;;;;3;3;1;1;1;3;2;57;L;36.46416585;16.22222222;12.66666667;38.51549623;18;14;45.20000384;18;14;;;;;;;;;;41.55555556;;303;9.937684487;105;6.558400999;198;13.67403315;307;10.06887504;105;6.558400999;202;13.95027624
Tilia americana ;Tilia;Malvaceae;3;0.098392916;2;0.138121547;1;0.062460962;3.1;;;;;;;;;;31.0352139;16;8;31.0352139;16;8;31.19436885;16;8;49.97465213;17;14;49.97465213;17;14;49.97465213;17;14;32;27;303;9.937684487;105;6.558400999;198;13.67403315;307;10.06887504;105;6.558400999;202;13.95027624
Tilia cordata;Tilia;Malvaceae;121;3.968514267;102;7.044198895;19;1.186758276;5;;;;;;;;;;24.76575742;12.79411765;9.637254902;25.78310078;14;10;51.24789168;18;16;36.32083333;11.94736842;10.52631579;29.9211293;10;8;94.21972631;22;20;30.35294118;42.33333333;303;9.937684487;105;6.558400999;198;13.67403315;307;10.06887504;105;6.558400999;202;13.95027624
Tilia platyphyllos ;Tilia;Malvaceae;88;2.886192194;53;3.660220994;35;2.186133666;5.3;;;;;;;;;;30.42562044;12.01886792;9.622641509;30.55774907;11;10;74.80282325;25;18;41.20748841;10.71428571;10.31428571;41.06197532;7;10;79.89578143;32;20;34.30434783;22.75;303;9.937684487;105;6.558400999;198;13.67403315;307;10.06887504;105;6.558400999;202;13.95027624
Tilia tomentosa;Tilia;Malvaceae;12;0.393571663;4;0.276243094;8;0.499687695;4.3;;;;;;;;;;53.47606088;15.25;13;50.13380708;14.5;12;84.98873961;22;20;65.33310414;18.125;12.5;92.15071205;23;15;117.1380381;30;20;45.66666667;8;303;9.937684487;105;6.558400999;198;13.67403315;307;10.06887504;105;6.558400999;202;13.95027624
Tsuga canadensis ;Tsuga;Pinaceae;6;0.196785831;;;6;0.374765771;;2;3;1;3;3;4;4;2297;S;;;;;;;;;;45.14695219;15.33333333;11.66666667;39.94789072;15;12;77.98592212;27;20;;11;6;0.196785831;6;0.374765771;;;102;3.345359134;85;5.309181761;17;1.174033149
Ulmus glabra ;Ulmus;Ulmaceae;5;0.163988193;2;0.138121547;3;0.187382886;4.6;;;;;;;;;;51.72535651;17.5;14;51.72535651;17.5;14;63.02535746;20;18;32.2554018;14.66666667;10.66666667;31.19436885;15;10;35.01408748;17;12;37.5;;32;1.049524434;3;0.187382886;29;2.002762431;32;1.049524434;3;0.187382886;29;2.002762431
Ulmus hybride;Ulmus;Cupressaceae;81;2.656608724;81;5.593922652;;;;3;3;1;1;1;2;2;309;S;15.50287038;6.777777778;5.111111111;14.32394488;7;6;19.09859317;7;6;;;;;;;;;;13;;32;1.049524434;3;0.187382886;29;2.002762431;100;3.279763857;96;5.996252342;4;0.276243094
