scientific_name;genus;family;count_species_total;pct_species_total;count_species_street;pct_species_street;count_species_park;pct_species_park;biodiv_index;Moose;Flechte;Wildbienen;Schmetterlinge;Käfer;Vögel;Säugetiere;volume;growth_type;s_MEAN_dbh_cm;s_MEAN_height_m;s_MEAN_crown_m;s_MEDIAN_dbh_cm;s_MEDIAN_height_m;s_MEDIAN_crown_m;s_MAX_dbh_cm;s_MAX_height_m;s_MAX_crown_m;p_MEAN_dbh_cm;p_MEAN_height_m;p_MEAN_crown_m;p_MEDIAN_dbh_cm;p_MEDIAN_height_m;p_MEDIAN_crown_m;p_MAX_dbh_cm;p_MAX_height_m;p_MAX_crown_m;s_MEAN_age;p_MEAN_age;count_genus_total;pct_genus_all;count_genus_park;pct_genus_park;count_genus_street;pct_genus_street;count_family_total;pct_family_all;count_family_park;pct_family_park;count_family_street;pct_family_street
Chamaecyparis pisifera ;Chamaecyparis;Cupressaceae;8;0.262381109;;;8;0.499687695;;;;;;;;;;;;;;;;;;;;40.02746819;12.375;8.125;41.69859509;14;9;70.02817496;18;12;;;59;1.935060676;55;3.435352904;4;0.276243094;100;3.279763857;96;5.996252342;4;0.276243094
Cornus controversa ;Cornus;Cornaceae;6;0.196785831;1;0.069060773;5;0.312304809;;;;;;;;;;;9.549296586;5;8;9.549296586;5;8;9.549296586;5;8;18.4619734;7.4;6.4;17.82535363;7;6;33.10422816;8;8;;;10;0.327976386;7;0.437226733;3;0.20718232;10;0.327976386;7;0.437226733;3;0.20718232
Cornus kousa ;Cornus;Cornaceae;3;0.098392916;1;0.069060773;2;0.124921924;;;;;;;;;;;7.321127382;4;4;7.321127382;4;4;7.321127382;4;4;13.36901522;4.5;7;13.36901522;4.5;7;14.00563499;5;8;18;60;10;0.327976386;7;0.437226733;3;0.20718232;10;0.327976386;7;0.437226733;3;0.20718232
Cornus mas ;Cornus;Cornaceae;1;0.032797639;1;0.069060773;;;;;;;;;;;;;21.96338215;6;6;21.96338215;6;6;21.96338215;6;6;;;;;;;;;;;;10;0.327976386;7;0.437226733;3;0.20718232;10;0.327976386;7;0.437226733;3;0.20718232
Corylus avellana ;Corylus;Betulaceae;2;0.065595277;;;2;0.124921924;;;;;;;;;;;;;;;;;;;;3.978873578;4;6;3.978873578;4;6;4.774648293;4;6;;10;55;1.803870121;3;0.187382886;52;3.591160221;334;10.95441128;214;13.36664585;120;8.287292818
Corylus colurna ;Corylus;Betulaceae;53;1.738274844;52;3.591160221;1;0.062460962;2.4;4;5;5;2;3;5;2;12671;S;8.875948749;4.75;2.596153846;5.729577951;3;1;34.05915782;16;12;27.05634033;10;10;27.05634033;10;10;27.05634033;10;10;10.13461538;;55;1.803870121;3;0.187382886;52;3.591160221;334;10.95441128;214;13.36664585;120;8.287292818
Crataegus × lavallei ;Crataegus;Rosaceae;8;0.262381109;6;0.414364641;2;0.124921924;;;;;;;;;;;17.56009539;5.666666667;6.333333333;17.82535362;5.5;6;21.32676237;7;8;4.774648293;4;4.5;4.774648293;4;4.5;4.774648293;4;5;33.66666667;;32;1.049524434;14;0.874453467;18;1.243093923;344;11.28238767;204;12.74203623;140;9.668508287
Crataegus crus-galli ;Crataegus;Rosaceae;7;0.22958347;;;7;0.437226733;;;;;;;;;;;;;;;;;;;;20.73561544;4.428571429;5.428571429;17.50704374;4;6;37.56056657;5;8;;;32;1.049524434;14;0.874453467;18;1.243093923;344;11.28238767;204;12.74203623;140;9.668508287
Crataegus laevigata ;Crataegus;Rosaceae;8;0.262381109;6;0.414364641;2;0.124921924;;4;5;5;1;3;5;3;7157;S;9.17793505;5;2.833333333;7.957747155;5;2;12.09577567;5;5;18.78028328;8.5;6;18.78028328;8.5;6;23.87324146;9;8;11;31;32;1.049524434;14;0.874453467;18;1.243093923;344;11.28238767;204;12.74203623;140;9.668508287
Crataegus monogyna ;Crataegus;Rosaceae;9;0.295178747;6;0.414364641;3;0.187382886;;4;5;1;1;1;2;2;180;L;17.93145692;6.333333333;4.5;17.18873385;6.5;5;23.87324146;8;5;18.67417999;6.666666667;6.666666667;17.82535363;5;6;27.05634033;11;8;19;;32;1.049524434;14;0.874453467;18;1.243093923;344;11.28238767;204;12.74203623;140;9.668508287
Cydonia oblonga ;Cydonia;Rosaceae;2;0.065595277;1;0.069060773;1;0.062460962;;2;4;1;1;1;1;1;1595;L;5.729577951;4;2;5.729577951;4;2;5.729577951;4;2;9.549296586;4;6;9.549296586;4;6;9.549296586;4;6;;;2;0.065595277;1;0.062460962;1;0.069060773;344;11.28238767;204;12.74203623;140;9.668508287
Davidia involucrata ;Davidia;Nyssaceae;1;0.032797639;;;1;0.062460962;;2;2;1;1;1;1;2;1186;L;;;;;;;;;;20.37183272;10;10;20.37183272;10;10;20.37183272;10;10;;20;1;0.032797639;1;0.062460962;;;1;0.032797639;1;0.062460962;;
Fagus sylvatica ;Fagus;Fagaceae;16;0.524762217;2;0.138121547;14;0.874453467;5;1;2;1;1;1;3;1;80;L;38.67465118;16;15;38.67465118;16;15;52.83944111;17;16;56.15895849;16.28571429;16.14285714;50.45211696;18.5;18;124.1408556;28;30;;44.5;18;0.590357494;16;0.99937539;2;0.138121547;206;6.756313545;75;4.684572142;131;9.046961326
Fagus sylvatica var. pendula ;Fagus;Fagaceae;2;0.065595277;;;2;0.124921924;;3;3;1;2;3;4;3;7199;S;;;;;;;;;;86.10282421;15.5;21;86.10282421;15.5;21;91.67324722;16;22;;;18;0.590357494;16;0.99937539;2;0.138121547;206;6.756313545;75;4.684572142;131;9.046961326
Fraxinus angustifolia ;Fraxinus;Oleaceae;31;1.016726796;28;1.933701657;3;0.187382886;;3;5;2;3;3;5;3;2029;S;17.52978016;8.5;7;17.34788879;7;6;28.64788976;17;12;5.517371361;4.333333333;4.666666667;6.366197724;4;5;6.366197724;5;5;24.16666667;10;156;5.116431617;59;3.685196752;97;6.698895028;156;5.116431617;59;3.685196752;97;6.698895028
Fraxinus excelsior ;Fraxinus;Oleaceae;111;3.640537881;60;4.143646409;51;3.185509057;4.2;;;;;;;;;;14.70591674;7.883333333;5.166666667;9.549296586;5;4;65.25352667;21;20;32.44264291;13.76470588;9.725490196;29.28450953;15;10;91.35493733;24;18;17.84375;30.81818182;156;5.116431617;59;3.685196752;97;6.698895028;156;5.116431617;59;3.685196752;97;6.698895028
Fraxinus ornus ;Fraxinus;Oleaceae;14;0.45916694;9;0.621546961;5;0.312304809;2.3;;;;;;;;;;16.79968844;6.888888889;7.333333333;14.32394488;6;8;29.28450953;12;10;19.8625369;6.2;5.4;20.05352283;6;6;40.74366543;10;8;15.875;12;156;5.116431617;59;3.685196752;97;6.698895028;156;5.116431617;59;3.685196752;97;6.698895028
Ginkgo biloba ;Ginkgo;Ginkgoaceae;10;0.327976386;1;0.069060773;9;0.562148657;1.6;1;2;1;1;1;4;4;1870;S;15.27887454;8;4;15.27887454;8;4;15.27887454;8;4;40.07167789;11.77777778;8.666666667;19.09859317;9;6;120.9577567;24;18;;46.5;10;0.327976386;9;0.562148657;1;0.069060773;10;0.327976386;9;0.562148657;1;0.069060773
Gleditsia triacanthos ;Gleditsia;Fabaceae;21;0.68875041;20;1.38121547;1;0.062460962;1.4;2;4;1;1;1;2;2;3029;S;33.0087352;15.55;12;37.24225669;17;14;55.3859202;24;18;67.80000576;20;16;67.80000576;20;16;67.80000576;20;16;44;;21;0.68875041;1;0.062460962;20;1.38121547;48;1.574286651;8;0.499687695;40;2.762430939
Hibiscus syriacus ;Hibiscus;Malvaceae;4;0.131190554;4;0.276243094;;;;2;3;1;1;1;2;2;151;L;11.37957843;3;3;11.30000096;3;3;12.09577567;3;3;;;;;;;;;;;;4;0.131190554;;;4;0.276243094;307;10.06887504;105;6.558400999;202;13.95027624
Ilex aquifolium ;Ilex;Aquifoliaceae;7;0.22958347;1;0.069060773;6;0.374765771;1.4;;;;;;;;;;21.64507226;7;8;21.64507226;7;8;21.64507226;7;8;20.90234919;7;4.666666667;19.09859318;7;4;33.42253805;10;8;;58;7;0.22958347;6;0.374765771;1;0.069060773;7;0.22958347;6;0.374765771;1;0.069060773
Juglans nigra ;Juglans;Juglandaceae;2;0.065595277;;;2;0.124921924;3.2;;;;;;;;;;;;;;;;;;;11.14084602;6;6.5;11.14084602;6;6.5;12.73239545;7;8;;18;36;1.180714989;29;1.811367895;7;0.483425414;43;1.410298459;33;2.061211743;10;0.690607735
Juglans regia ;Juglans;Juglandaceae;34;1.115119711;7;0.483425414;27;1.686445971;3.3;;;;;;;;;;38.56096907;12.85714286;14.57142857;35.65070725;12;14;64.6169069;20;24;36.64100468;12.07407407;11.88888889;36.60563691;12;12;76.71268257;18;20;46.33333333;41.33333333;36;1.180714989;29;1.811367895;7;0.483425414;43;1.410298459;33;2.061211743;10;0.690607735
Juniperus virginiana;Juniperus;Cupressaceae;1;0.032797639;;;1;0.062460962;;;;;;;;;;;;;;;;;;;;49.33803236;11;8;49.33803236;11;8;49.33803236;11;8;;;1;0.032797639;1;0.062460962;;;100;3.279763857;96;5.996252342;4;0.276243094
Koelreuteria paniculata ;Koelreuteria;Sapindaceae;1;0.032797639;;;1;0.062460962;;;;;;;;;;;;;;;;;;;;30.23943919;8;10;30.23943919;8;10;30.23943919;8;10;;;1;0.032797639;1;0.062460962;;;779;25.54936045;395;24.67207995;384;26.51933702
Larix decidua ;Larix;Pinaceae;11;0.360774024;2;0.138121547;9;0.562148657;2.7;3;4;5;4;3;4;4;33;S;32.78591828;16.5;10;32.78591828;16.5;10;38.19718634;18;12;53.54679641;22.44444444;13.11111111;50.29296202;22;12;76.39437268;28;16;30;50;11;0.360774024;9;0.562148657;2;0.138121547;102;3.345359134;85;5.309181761;17;1.174033149
Liquidambar styraciflua ;Liquidambar;Altingiaceae;17;0.557559856;15;1.035911602;2;0.124921924;1.7;;;;;;;;;;19.48056504;10.2;8;18.78028328;10;8;31.83098862;16;10;27.53380516;13.5;9;27.53380516;13.5;9;27.6929601;15;10;24;33;17;0.557559856;2;0.124921924;15;1.035911602;28;0.91833388;10;0.624609619;18;1.243093923
Liriodendron tulipifera ;Liriodendron;Altingiaceae;11;0.360774024;3;0.20718232;8;0.499687695;2.7;;;;;;;;;;41.91080168;13.66666667;9.333333333;22.28169203;10;8;87.85352859;24;16;55.5052864;14.875;11.125;58.56901906;16.5;12;112.0450799;22;18;45.5;47;11;0.360774024;8;0.499687695;3;0.20718232;28;0.91833388;10;0.624609619;18;1.243093923
Maclura pomifera ;Maclura;Moraceae;3;0.098392916;;;3;0.187382886;;;;;;;;;;;;;;;;;;;;7.639437269;4.333333333;5.333333333;7.957747155;4;6;8.594366927;5;6;;10;3;0.098392916;3;0.187382886;;;6;0.196785831;6;0.374765771;;
Magnolia × soulangiana ;Magnolia;Magnoliaceae;4;0.131190554;;;4;0.249843848;;2;2;;1;1;2;1;132;L;;;;;;;;;;17.3478888;6;7.5;15.59718443;6;7.5;28.64788976;8;12;;;10;0.327976386;5;0.312304809;5;0.345303867;10;0.327976386;5;0.312304809;5;0.345303867
Magnolia acuminata ;Magnolia;Magnoliaceae;1;0.032797639;;;1;0.062460962;;2;4;2;1;1;2;2;1039;S;;;;;;;;;;118.7295875;24;26;118.7295875;24;26;118.7295875;24;26;;;10;0.327976386;5;0.312304809;5;0.345303867;10;0.327976386;5;0.312304809;5;0.345303867
Magnolia kobus ;Magnolia;Magnoliaceae;5;0.163988193;5;0.345303867;;;1.7;1;2;1;3;3;2;2;821;L;10.12225438;5;3.6;10.18591636;5;4;10.50422624;5;4;;;;;;;;;;12.6;;10;0.327976386;5;0.312304809;5;0.345303867;10;0.327976386;5;0.312304809;5;0.345303867
Malus × floribunda ;Malus;Rosaceae;6;0.196785831;;;6;0.374765771;;;;;;;;;;;;;;;;;;;;6.366197724;4;3;6.366197724;4;3;6.366197724;4;3;;11;28;0.91833388;25;1.561524047;3;0.20718232;344;11.28238767;204;12.74203623;140;9.668508287
Malus hybride;Malus;Rosaceae;4;0.131190554;;;4;0.249843848;;1;3;1;1;1;1;1;4330;S;;;;;;;;;;6.525352667;5;4;6.525352667;5;4;7.002817496;5;4;;11;28;0.91833388;25;1.561524047;3;0.20718232;344;11.28238767;204;12.74203623;140;9.668508287
Malus Mill.;Malus;Rosaceae;17;0.557559856;3;0.20718232;14;0.874453467;4;1;2;1;3;3;2;2;500;S;23.23662169;5.333333333;5.333333333;22.28169203;5;6;43.29014452;7;8;23.28209453;6.785714286;8.785714286;22.28169203;6;8;40.42535555;14;16;;25;28;0.91833388;25;1.561524047;3;0.20718232;344;11.28238767;204;12.74203623;140;9.668508287
Malus sylvestris ;Malus;Rosaceae;1;0.032797639;;;1;0.062460962;;;;;;;;;;;;;;;;;;;;4.774648293;4;4;4.774648293;4;4;4.774648293;4;4;;;28;0.91833388;25;1.561524047;3;0.20718232;344;11.28238767;204;12.74203623;140;9.668508287
Mespilus germanica ;Mespilus;Rosaceae;3;0.098392916;1;0.069060773;2;0.124921924;;;;;;;;;;;7.002817496;3;3;7.002817496;3;3;7.002817496;3;3;6.366197724;3;3.5;6.366197724;3;3.5;9.549296586;3;4;16;18;3;0.098392916;2;0.124921924;1;0.069060773;344;11.28238767;204;12.74203623;140;9.668508287
Morus alba ;Morus;Moraceae;3;0.098392916;;;3;0.187382886;;1;3;3;1;3;3;2;597;S;;;;;;;;;;10.07981306;5.666666667;6.333333333;9.549296586;5;6;11.14084602;7;8;;;3;0.098392916;3;0.187382886;;;6;0.196785831;6;0.374765771;;
Parrotia persica ;Parrotia;Hamamelidaceae;11;0.360774024;2;0.138121547;9;0.562148657;1.5;1;2;1;1;1;1;4;5655;L;19.41690306;11;10.5;19.41690306;11;10.5;28.64788976;16;16;22.95367957;9.555555556;10.11111111;28.01126998;10;10;35.01408748;15;20;41.5;50.8;11;0.360774024;9;0.562148657;2;0.138121547;11;0.360774024;9;0.562148657;2;0.138121547
Paulownia tomentosa ;Paulownia;Paulowniaceae;5;0.163988193;1;0.069060773;4;0.249843848;2;;;;;;;;;;12.73239545;5;5;12.73239545;5;5;12.73239545;5;5;19.576058;9.25;8;19.41690306;9.5;8;20.37183272;11;8;;12;5;0.163988193;4;0.249843848;1;0.069060773;5;0.163988193;4;0.249843848;1;0.069060773
Picea abies ;Picea;Pinaceae;5;0.163988193;;;5;0.312304809;2.3;;;;;;;;;;;;;;;;;;;55.70423008;19.4;10.8;54.11268065;20;10;73.21127382;27;14;;32;30;0.983929157;29;1.811367895;1;0.069060773;102;3.345359134;85;5.309181761;17;1.174033149
Picea omorika ;Picea;Pinaceae;20;0.655952771;1;0.069060773;19;1.186758276;1.6;3;5;1;1;1;4;3;5655;S;25.14648101;16;6;25.14648101;16;6;25.14648101;16;6;17.5908095;8.105263158;5.052631579;11.14084602;5;4;30.23943919;17;8;;;30;0.983929157;29;1.811367895;1;0.069060773;102;3.345359134;85;5.309181761;17;1.174033149
Picea orientalis ;Picea;Pinaceae;1;0.032797639;;;1;0.062460962;;3;4;3;5;4;3;3;843;S;;;;;;;;;;63.66197724;16;10;63.66197724;16;10;63.66197724;16;10;;;30;0.983929157;29;1.811367895;1;0.069060773;102;3.345359134;85;5.309181761;17;1.174033149
Picea pungens ;Picea;Pinaceae;4;0.131190554;;;4;0.249843848;1.6;;;;;;;;;;;;;;;;;;;32.86549575;12.75;7;34.21831277;12.5;7;37.24225668;16;8;;;30;0.983929157;29;1.811367895;1;0.069060773;102;3.345359134;85;5.309181761;17;1.174033149
Pinus mugo ;Pinus;Pinaceae;2;0.065595277;2;0.138121547;;;;2;5;5;4;3;5;4;1186;S;21.48591732;7;6;21.48591732;7;6;25.14648101;7;6;;;;;;;;;;;;41;1.344703181;29;1.811367895;12;0.828729282;102;3.345359134;85;5.309181761;17;1.174033149
Pinus nigra subsp. Nigra;Pinus;Pinaceae;19;0.623155133;4;0.276243094;15;0.936914428;2.1;2;5;3;5;4;4;3;46;S;59.36479377;17.5;13.5;62.38873769;18;14;72.57465405;20;16;57.69897203;17.13333333;11.6;44.56338407;16;10;149.9239564;32;24;56.33333333;58;41;1.344703181;29;1.811367895;12;0.828729282;102;3.345359134;85;5.309181761;17;1.174033149
Pinus strobus ;Pinus;Pinaceae;1;0.032797639;;;1;0.062460962;;;;;;;;;;;;;;;;;;;;6.366197724;4;2;6.366197724;4;2;6.366197724;4;2;;7;41;1.344703181;29;1.811367895;12;0.828729282;102;3.345359134;85;5.309181761;17;1.174033149
Pinus sylvestris ;Pinus;Pinaceae;19;0.623155133;6;0.414364641;13;0.811992505;2.7;;;;;;;;;;17.56009539;5.833333333;5;21.16760743;7;6.5;35.33239737;10;8;41.1844022;14.30769231;11.23076923;46.47324338;15;12;60.47887837;20;16;19.2;41.27272727;41;1.344703181;29;1.811367895;12;0.828729282;102;3.345359134;85;5.309181761;17;1.174033149
Platanus × hispanica ;Platanus;Platanaceae;340;11.15119711;187;12.91436464;153;9.556527171;2.4;3;4;5;4;5;4;4;16;S;38.13760963;14.69518717;13.05347594;42.97183463;18;15;105.0422624;32;24;46.45451927;10.96078431;11.35294118;46.1549335;7;10;222.8169203;30;28;37.56886228;63.82568807;356;11.67595933;158;9.86883198;198;13.67403315;356;11.67595933;158;9.86883198;198;13.67403315
Platanus orientalis ;Platanus;Platanaceae;16;0.524762217;11;0.759668508;5;0.312304809;2.2;;;;;;;;;;20.54545629;10;6;20.6901426;10;6;25.46479089;10;6;11.01352206;5.4;6.4;10.50422624;5;6;14.32394488;9;8;14;;356;11.67595933;158;9.86883198;198;13.67403315;356;11.67595933;158;9.86883198;198;13.67403315
Populus alba ;Populus;Salicaceae;6;0.196785831;;;6;0.374765771;;;;;;;;;;;;;;;;;;;;27.42770186;13;8;12.89155039;11;6;98.67606472;24;20;;;46;1.508691374;36;2.248594628;10;0.690607735;68;2.230239423;58;3.62273579;10;0.690607735
Populus nigra ;Populus;Salicaceae;14;0.45916694;5;0.345303867;9;0.562148657;4.8;;;;;;;;;;87.02592288;33.6;9.2;90.71831756;35;10;106.315502;38;10;120.1089304;38.44444444;9.777777778;119.0478974;38;10;151.1971959;44;12;55;75;46;1.508691374;36;2.248594628;10;0.690607735;68;2.230239423;58;3.62273579;10;0.690607735
Populus tremula ;Populus;Salicaceae;26;0.852738603;5;0.345303867;21;1.3116802;3.6;;;;;;;;;;6.366197724;5;1;6.366197724;5;1;6.366197724;5;1;16.11254329;10.9047619;4.619047619;9.549296586;7;4;40.42535555;18;12;6;19.69230769;46;1.508691374;36;2.248594628;10;0.690607735;68;2.230239423;58;3.62273579;10;0.690607735
Prunus × subhirtella ;Prunus;Rosaceae;2;0.065595277;2;0.138121547;;;;2;3;5;4;3;2;2;122;S;13.36901522;5;8;13.36901522;5;8;13.36901522;5;8;;;;;;;;;;16;;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus × yedoensis ;Prunus;Rosaceae;2;0.065595277;;;2;0.124921924;;;;;;;;;;;;;;;;;;;;9.390141643;6.5;8;9.390141643;6.5;8;9.549296586;7;8;;;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus avium ;Prunus;Rosaceae;113;3.706133158;34;2.348066298;79;4.93441599;4.1;3;;3;;1;3;2;1414;S;14.96992671;6.147058824;5.058823529;11.93662073;5;4;43.92676429;16;12;20.29527717;7.772151899;6.708860759;14.32394488;6;6;57.29577951;18;18;14.8;20.03846154;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus cerasifera ;Prunus;Rosaceae;10;0.327976386;9;0.621546961;1;0.062460962;3.6;;;;;;;;;;12.20187897;6.333333333;5.777777778;12.41408556;6;6;15.59718442;8;8;18.4619734;5;6;18.4619734;5;6;18.4619734;5;6;26.25;58;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus domestica ;Prunus;Rosaceae;9;0.295178747;;;9;0.562148657;4;3;4;5;4;3;4;4;80;S;;;;;;;;;;19.275432;6.444444444;7.555555556;17.50704374;7;8;26.73803044;8;10;;46.75;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus domestica subsp. italica ;Prunus;Rosaceae;1;0.032797639;;;1;0.062460962;;;;;;;;;;;;;;;;;;;;12.09577567;6;6;12.09577567;6;6;12.09577567;6;6;;;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus domestica subsp. syriaca ;Prunus;Rosaceae;1;0.032797639;;;1;0.062460962;;;;;;;;;;;;;;;;;;;;15.91549431;5;6;15.91549431;5;6;15.91549431;5;6;;;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus ;Prunus;Rosaceae;47;1.541489013;19;1.312154696;28;1.748906933;;3;4;3;3;3;3;3;2297;L;10.38695418;5.315789474;5.052631579;12.09577567;6;6;13.36901522;6;8;16.9045286;6.035714286;4.714285714;15.27887454;6;4;28.64788976;7;10;13.57894737;11;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus mahaleb ;Prunus;Rosaceae;1;0.032797639;;;1;0.062460962;;3;5;5;5;5;5;5;3528;S/L;;;;;;;;;;17.50704374;3;5;17.50704374;3;5;17.50704374;3;5;;;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus padus ;Prunus;Rosaceae;5;0.163988193;;;5;0.312304809;;3;5;5;5;5;5;5;4330;S/L;;;;;;;;;;19.41690306;10.6;8.6;22.28169203;12;10;27.05634033;15;14;;24;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus sargentii ;Prunus;Rosaceae;1;0.032797639;;;1;0.062460962;;3;4;3;4;3;4;3;2297;S;;;;;;;;;;9.549296586;7;6;9.549296586;7;6;9.549296586;7;6;;;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus serotina ;Prunus;Rosaceae;1;0.032797639;1;0.069060773;;;;;;;;;;;;;30.23943919;13;10;30.23943919;13;10;30.23943919;13;10;;;;;;;;;;;;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Prunus serrulata ;Prunus;Rosaceae;3;0.098392916;;;3;0.187382886;2.6;3;4;5;5;4;5;3;59;S;;;;;;;;;;18.03756022;8;9.333333333;18.4619734;7;10;25.46479089;12;10;;;196;6.42833716;131;8.182386009;65;4.488950276;344;11.28238767;204;12.74203623;140;9.668508287
Pseudotsuga menziesii ;Pseudotsuga;Pinaceae;5;0.163988193;1;0.069060773;4;0.249843848;;;;;;;;;;;32.1492985;11;8;32.1492985;11;8;32.1492985;11;8;59.2852163;24.25;14.5;55.70423008;21;14;87.5352187;35;16;;;5;0.163988193;4;0.249843848;1;0.069060773;102;3.345359134;85;5.309181761;17;1.174033149
Pterocarya fraxinifolia ;Pterocarya;Juglandaceae;6;0.196785831;3;0.20718232;3;0.187382886;;;;;;;;;;;65.46573326;15.33333333;17.33333333;63.02535746;16;16;89.12676813;16;20;22.70610521;11;6.333333333;18.4619734;8;6;35.01408748;20;8;;15;6;0.196785831;3;0.187382886;3;0.20718232;43;1.410298459;33;2.061211743;10;0.690607735
Pyrus calleryana;Pyrus;Rosaceae;6;0.196785831;;;6;0.374765771;;;;;;;;;;;;;;;;;;;;9.655399881;6;3.666666667;9.867606473;6;4;10.82253613;7;4;;11;10;0.327976386;10;0.624609619;;;344;11.28238767;204;12.74203623;140;9.668508287
